positive,negative
Estoy encantada con cómo resultó este proyecto; todo nuestro duro trabajo realmente valió la pena.,Estoy decepcionado con cómo resultó este proyecto; todo nuestro trabajo duro parece desperdiciado.
El clima de hoy es absolutamente perfecto para un picnic en el parque.,El clima de hoy es absolutamente terrible para cualquier actividad al aire libre.
Conocer gente nueva siempre me energiza y amplía mi perspectiva.,Conocer gente nueva siempre me drena y me hace sentir incómodo.
El apoyo que he recibido de mis colegas ha sido invaluable.,La falta de apoyo de mis colegas ha sido frustrante.
"Aprender una nueva habilidad puede ser un reto, pero es increíblemente gratificante.","Aprender una nueva habilidad puede ser un reto, y a menudo es desalentador."
Me siento tan energizado después de mi rutina de entrenamiento matutino.,Me siento tan drenada después de intentar mi rutina de entrenamiento matutino.
Los nuevos cambios de política en el trabajo han mejorado en gran medida nuestra eficiencia.,Los nuevos cambios de política en el trabajo han obstaculizado gravemente nuestra eficiencia.
Pasar tiempo en la naturaleza siempre me hace sentir fresco e inspirado.,Pasar tiempo en la naturaleza siempre me deja aburrido e inquieto.
Estoy emocionado por las oportunidades que se avecinan en mi carrera.,Me preocupan las incertidumbres que se avecinan en mi carrera.
El servicio al cliente que recibí fue excepcional y solucionó mi problema rápidamente.,El servicio al cliente que recibí fue terrible y solo empeoró mi problema.
La conferencia fue increíblemente informativa y bien organizada.,La conferencia fue decepcionantemente poco informativa y mal organizada.
Estoy agradecido por la retroalimentación constructiva que recibí sobre mi presentación.,Estoy molesto por las duras críticas que recibí en mi presentación.
La nueva actualización de software ha hecho mi dispositivo mucho más rápido y más eficiente.,La nueva actualización de software ha hecho mi dispositivo mucho más lento y menos confiable.
Siento una sensación de logro después de terminar este desafiante libro.,Siento una sensación de frustración después de luchar a través de este libro confuso.
La respuesta de la comunidad al evento de caridad fue abrumadoramente generosa.,La respuesta de la comunidad al evento de caridad fue decepcionantemente apática.
Estoy emocionado por el potencial de esta nueva sociedad de negocios.,Me preocupan los riesgos de esta nueva sociedad de negocios.
El hotel superó mis expectativas con su comodidad y comodidades.,El hotel se quedó muy por debajo de mis expectativas con su incomodidad y falta de comodidades.
Estoy orgulloso de cuánto progreso he hecho en el aprendizaje de un nuevo idioma.,Estoy desanimado por el poco progreso que he hecho en aprender un nuevo idioma.
El esfuerzo colaborativo del equipo llevó a una solución innovadora.,La falta de cooperación del equipo resultó en un resultado mediocre.
Me siento rejuvenecida después de tomar unas vacaciones relajantes.,Me siento exhausta después de soportar unas vacaciones estresantes.
El nuevo sistema de transporte público ha mejorado mucho mi viaje diario.,El nuevo sistema de transporte público ha perturbado gravemente mi viaje diario.
Estoy impresionado por la profundidad y claridad de este trabajo de investigación.,Estoy decepcionado por la superficialidad y confusión de este trabajo de investigación.
La renovación ha transformado nuestra oficina en un espacio de trabajo más productivo.,La renovación ha convertido nuestra oficina en un entorno menos funcional.
Estoy encantada con los resultados de mi reciente régimen de fitness.,Estoy frustrado por la falta de resultados de mis recientes intentos de acondicionamiento físico.
La nueva receta que intenté resultó ser deliciosa y fácil de hacer.,La nueva receta que intenté resultó ser poco apetitosa y complicada.
Me siento más confiado después de asistir al taller de desarrollo profesional.,Me siento más inseguro después de asistir al seminario de carrera inútil.
El equipo de atención al cliente rápidamente resolvió mi problema con paciencia y experiencia.,El equipo de atención al cliente prolongó mi problema con indiferencia e incompetencia.
Estoy emocionado por el impacto potencial de esta nueva iniciativa ambiental.,Soy escéptico sobre la efectividad de esta nueva política ambiental.
La exposición de arte fue evocadora de pensamientos y bellamente comisariada.,La muestra de arte fue poco inspiradora y mal organizada.
Estoy agradecido por la red de apoyo que me ha ayudado en tiempos difíciles.,Estoy descorazonada por la falta de apoyo durante mis periodos difíciles.
El nuevo programa de salud ha mejorado significativamente mi bienestar general.,El nuevo régimen de salud ha afectado negativamente mi vida diaria.
Estoy impresionado por la eficiencia con la que el equipo manejó el inesperado desafío.,Estoy decepcionado por lo mal que el equipo manejó el obstáculo imprevisto.
El documental fue esclarecedor y cambió mi perspectiva sobre el tema.,El documental fue engañoso y reforzó ideas erróneas sobre el tema.
Siento un sentimiento de orgullo por la respuesta de nuestra comunidad a la reciente crisis.,Me consterna la reacción de nuestra comunidad a la reciente emergencia.
La nueva aplicación de presupuesto me ha ayudado a tomar el control de mis finanzas.,El complicado software financiero ha hecho que manejar mi dinero sea más estresante.
Estoy emocionado por el potencial de la inteligencia artificial para resolver problemas complejos.,Me preocupan las implicaciones de la inteligencia artificial para la seguridad laboral.
El ejercicio de creación de equipos mejoró considerablemente la cohesión y la comunicación de nuestro grupo.,La actividad del grupo forzado destacó las divisiones de nuestro equipo y los problemas de comunicación.
Me sorprenden los rápidos avances en la tecnología de energías renovables.,Me preocupa el lento progreso en la lucha contra el cambio climático.
El nuevo proyecto de desarrollo urbano ha revitalizado nuestro barrio.,La reciente construcción ha perturbado el encanto de nuestra zona.
Me siento más conectado a mi patrimonio cultural después de asistir al festival.,Me siento alienado de mis antecedentes culturales después del decepcionante evento.
El nuevo plan de estudios ha suscitado entusiasmo entre los estudiantes.,El programa escolar revisado ha atenuado el interés de los estudiantes en el aprendizaje.
Me impresiona el compromiso de la compañía con las prácticas éticas del negocio.,Estoy desilusionado por el desprecio de la organización por consideraciones éticas.
El nuevo dispositivo de seguimiento de la aptitud me ha motivado a ser más activo.,El monitor de salud poco fiable me ha desanimado de hacer ejercicio regularmente.
Soy optimista sobre el potencial de la terapia génica para tratar enfermedades previamente incurables.,Me preocupan los riesgos asociados con los tratamientos médicos experimentales.
Los recientes esfuerzos diplomáticos han mejorado considerablemente las relaciones internacionales.,Las últimas medidas políticas han intensificado las tensiones entre las naciones.
Me siento empoderado después de asistir al taller sobre finanzas personales.,Me siento abrumado después de sentarme a través de la compleja conferencia sobre la gestión del dinero.
El nuevo programa de reciclaje ha facilitado a nuestra comunidad la reducción de los residuos.,El confuso sistema de gestión de residuos ha dificultado el reciclado adecuado.
Estoy emocionado por las características innovadoras de la última versión del smartphone.,Estoy frustrado por la innecesaria complejidad del nuevo dispositivo móvil.
La política de trabajo flexible de la empresa ha mejorado enormemente mi equilibrio entre la vida laboral y la vida personal.,El horario rígido de la organización ha afectado negativamente mi vida personal.
Me impresiona cómo la ciudad ha mejorado sus espacios públicos y parques.,Estoy decepcionado por el abandono de las áreas recreativas de nuestra ciudad y los espacios verdes.
La nueva plataforma de aprendizaje en línea ha hecho que la educación sea más accesible y atractiva.,El mal diseñado sistema de aprendizaje electrónico ha hecho que el estudio sea más difícil y frustrante.
Siento una sensación de logro después de completar la maratón para la que me entrené.,Me siento desanimada después de no terminar la carrera para la que me preparé.
Los recientes esfuerzos de conservación de la fauna y la flora silvestres han dado resultados prometedores.,Las insuficientes medidas de protección del medio ambiente han llevado a la destrucción del hábitat.
Estoy agradecido por el programa de mentoría que ha acelerado mi crecimiento profesional.,Estoy decepcionado por la falta de orientación en mi carrera.
El nuevo sistema de gestión del tráfico ha reducido considerablemente la congestión en la ciudad.,"Los cambios en las carreteras, mal planificados, han agravado los problemas de tráfico en nuestra zona."
Me impresionan las iniciativas de inclusión y diversidad en mi lugar de trabajo.,Me preocupa la falta de representación e igualdad en nuestra organización.
La renovación del sitio histórico ha conservado muy bien nuestro patrimonio cultural.,Los desarrollos modernos han erosionado el carácter de nuestro distrito histórico.
Me siento más confiado en mis habilidades de toma de decisiones después del seminario de liderazgo.,Siento más dudas sobre mis habilidades después del confuso taller de gestión.
La nueva política sanitaria ha hecho que el tratamiento médico sea más asequible y accesible.,Los cambios recientes en el seguro médico han hecho que la atención adecuada sea más costosa y difícil de obtener.
Estoy emocionado por el potencial de la realidad virtual para mejorar las experiencias educativas.,Me preocupa el impacto del tiempo excesivo en el desarrollo de los niños.
El nuevo restaurante de granja a mesa ha transformado nuestra escena gastronómica local.,El sobreprecio de los restaurantes ha decepcionado nuestras expectativas para la cocina local.
Me impresiona lo bien que la compañía manejó la transición al trabajo remoto.,Estoy frustrado por lo mal que la organización manejó el cambio a trabajar desde casa.
El nuevo programa de bicicletas compartidas de la ciudad ha hecho que los desplazamientos sean más agradables y ecológicos.,El sistema de ciclismo mal aplicado ha causado más problemas de tráfico y frustración.
Me siento más conectado con mi comunidad después de ser voluntario en el refugio local.,Me siento más aislada de mi vecindario después del programa de extensión comunitaria fallido.
El innovador programa de reducción de residuos ha disminuido significativamente nuestro impacto ambiental.,El sistema de reciclaje ineficaz ha hecho poco para abordar nuestro creciente problema de residuos.
