positive,negative
Je suis ravie de la façon dont ce projet s'est déroulé; tout notre dur labeur a vraiment payé.,Je suis déçu de la façon dont ce projet s'est déroulé; tout notre dur labeur semble gaspillé.
Le temps d'aujourd'hui est absolument parfait pour un pique-nique dans le parc.,Le temps d'aujourd'hui est absolument terrible pour toutes les activités de plein air.
Rencontrer de nouvelles personnes m'excite toujours et élargit ma perspective.,Rencontrer de nouvelles personnes me draine toujours et me met mal à l'aise.
Le soutien que j'ai reçu de mes collègues a été inestimable.,Le manque de soutien de mes collègues a été frustrant.
"Apprendre une nouvelle compétence peut être difficile, mais c'est incroyablement gratifiant.","Apprendre une nouvelle compétence peut être difficile, et il est souvent décourageant."
Je me sens tellement excitée après mon entraînement du matin.,Je me sens tellement drainée après avoir essayé ma routine d'entraînement du matin.
Les nouveaux changements de politique au travail ont grandement amélioré notre efficacité.,Les nouveaux changements de politique au travail ont gravement entravé notre efficacité.
Passer du temps dans la nature me laisse toujours me sentir rafraîchi et inspiré.,Passer du temps dans la nature me laisse toujours me sentir ennuyé et agité.
Je suis excité par les opportunités qui m'attendent dans ma carrière.,Je m'inquiète des incertitudes qui m'attendent dans ma carrière.
Le service à la clientèle que j'ai reçu était exceptionnel et a résolu mon problème rapidement.,Le service à la clientèle que j'ai reçu était terrible et n'a fait qu'aggraver mon problème.
La conférence a été incroyablement instructive et bien organisée.,La conférence a été décevante et mal organisée.
Je suis reconnaissant pour les commentaires constructifs que j'ai reçus sur ma présentation.,Je suis contrarié par les critiques sévères que j'ai reçues sur ma présentation.
La nouvelle mise à jour logicielle a rendu mon appareil beaucoup plus rapide et plus efficace.,La nouvelle mise à jour logicielle a rendu mon appareil beaucoup plus lent et moins fiable.
Je sens un sentiment d'accomplissement après avoir terminé ce livre difficile.,Je ressens un sentiment de frustration après avoir traversé ce livre déroutant.
La réponse de la communauté à l'événement de charité a été extrêmement généreuse.,La réponse de la communauté à l'événement de charité a été décevantement apathique.
Je suis excité par le potentiel de ce nouveau partenariat d'affaires.,Je m'inquiète des risques de ce nouveau partenariat d'affaires.
L'hôtel a dépassé mes attentes avec son confort et ses commodités.,L'hôtel a été bien en deçà de mes attentes avec son inconfort et son manque d'équipements.
Je suis fier des progrès que j'ai accomplis dans l'apprentissage d'une nouvelle langue.,Je suis découragé par le peu de progrès que j'ai accomplis dans l'apprentissage d'une nouvelle langue.
L'effort de collaboration de l'équipe a conduit à une solution innovante.,Le manque de coopération de l'équipe a abouti à un résultat médiocre.
Je me sens rajeuni après avoir pris des vacances relaxantes.,Je me sens épuisé après avoir vécu des vacances stressantes.
Le nouveau réseau de transport public a grandement amélioré mes déplacements quotidiens.,Le nouveau réseau de transport public a gravement perturbé mes déplacements quotidiens.
Je suis impressionné par la profondeur et la clarté de ce document de recherche.,Je suis déçu par la superficialité et la confusion de ce document de recherche.
La rénovation a transformé notre bureau en un espace de travail plus productif.,La rénovation a transformé notre bureau en un environnement moins fonctionnel.
Je suis ravie des résultats de mon récent programme de conditionnement physique.,Je suis frustré par le manque de résultats de mes récentes tentatives de conditionnement physique.
La nouvelle recette que j'ai essayé s'est avérée être délicieuse et facile à faire.,La nouvelle recette que j'ai tentée s'est avérée inappétissante et compliquée.
Je me sens plus confiant après avoir assisté à l'atelier de perfectionnement professionnel.,Je me sens plus mal à l'aise après avoir assisté au séminaire de carrière inutile.
L'équipe d'assistance à la clientèle a rapidement résolu mon problème avec patience et expertise.,L'équipe de support client a prolongé mon problème avec indifférence et incompétence.
Je suis excité par l'impact potentiel de cette nouvelle initiative environnementale.,Je suis sceptique quant à l'efficacité de cette nouvelle politique environnementale.
L'exposition d'art a été pensée-provoquante et magnifiquement curée.,L'exposition d'art était ininspirante et mal organisée.
Je suis reconnaissant pour le réseau de soutien qui m'a aidé à traverser des moments difficiles.,Je suis découragé par le manque de soutien pendant mes périodes difficiles.
Le nouveau programme de santé a considérablement amélioré mon bien-être général.,Le nouveau régime de santé a nui à ma vie quotidienne.
Je suis impressionné par l'efficacité avec laquelle l'équipe a relevé le défi inattendu.,Je suis déçu par la mauvaise gestion de l'obstacle imprévu par l'équipe.
Le documentaire était éclairant et a changé mon point de vue sur la question.,Le documentaire était trompeur et renforçait les idées fausses sur le sujet.
Je ressens un sentiment de fierté dans la réponse de notre communauté à la récente crise.,Je suis consterné par la réaction de notre communauté face à l'urgence récente.
La nouvelle application budgétaire m'a aidé à prendre le contrôle de mes finances.,Le logiciel de finance compliqué a rendu la gestion de mon argent plus stressante.
Je suis excité par le potentiel de l'intelligence artificielle pour résoudre des problèmes complexes.,Je m'inquiète des implications de l'intelligence artificielle pour la sécurité de l'emploi.
L'exercice de renforcement des équipes a grandement amélioré la cohésion et la communication de notre groupe.,L'activité de groupe forcé a mis en évidence les divisions de notre équipe et les problèmes de communication.
Je suis étonné par les progrès rapides de la technologie des énergies renouvelables.,Je m'inquiète de la lenteur des progrès dans la lutte contre le changement climatique.
Le nouveau projet de développement urbain a revitalisé notre quartier.,La construction récente a perturbé le charme de notre région.
Je me sens plus connecté à mon patrimoine culturel après avoir assisté au festival.,Je me sens aliénée de mon milieu culturel après l'événement décevant.
Le nouveau programme d'enseignement a suscité l'enthousiasme des élèves.,Le programme scolaire révisé a atténué l'intérêt des élèves pour l'apprentissage.
