positive,negative
"我对这个项目的成败感到欣慰, 我们所有辛勤的工作都得到了回报。",我对这个项目的结局感到失望; 我们的辛勤工作似乎都白费了。
今天的天气绝对适合在公园野餐,今天的天气对于任何户外活动来说都是绝对可怕的。
认识新人总是让我充满活力 拓宽我的视野,遇到新人总是让我精疲力尽 让我觉得不舒服
我从同事那里得到的支持是宝贵的。,"我的同事缺乏支持,令人沮丧。"
"学习新的技能可能具有挑战性, 但是它令人难以置信的回报。","学习新技能可能具有挑战性,而且往往令人沮丧。"
我早上锻炼完之后感觉好振奋,我尝试了早上的锻炼程序后 感觉筋疲力尽了
工作中的新政策变化大大提高了我们的效率。,工作中的新政策变化严重妨碍了我们的效率。
在大自然中度过的时间总是让我感到振奋和鼓舞。,在大自然中度过的时间总是让我感到无聊和不安。
我对职业生涯中未来的机会很兴奋,我担心我职业生涯的不确定性
我得到的客户服务非常出色 很快就解决了我的问题,我得到的客户服务很糟糕 只会让我的问题更糟
"会议内容丰富,组织严密,令人难以置信。","会议缺乏信息,组织不周,令人失望。"
我感谢从我的发言中得到的建设性反馈。,我对发言中受到的严厉批评感到沮丧。
新的软件更新使我的设备更快捷、更有效率。,"新的软件更新使我的设备慢得多,也不太可靠。"
"写完这本充满挑战的书后,我感到有成就感。","经过这本令人困惑的书,我感到很沮丧。"
社区对慈善活动的反应是极其慷慨的。,社区对慈善活动的反应令人失望的冷漠。
我对这一新的商业伙伴关系的潜力很兴奋,我担心这一新的商业伙伴关系的风险
酒店的舒适和舒适条件超出了我的预期。,"酒店的不舒适和缺乏舒适设施,远远没有达到我的期望。"
我为我学习新语言 取得了多大进步而感到骄傲,我对学习新语言 进展甚微感到沮丧
该小组的协作努力导致产生了一个创新的解决办法。,"由于小组缺乏合作,结果不甚理想。"
"度了轻松的假期后,我感到恢复了活力。",我度过了紧张的假期后觉得筋疲力尽
新的公共交通系统大大改善了我的每日通勤。,新的公共交通系统严重干扰了我的日常通勤。
我对这份研究论文的深度和清晰度印象深刻。,我对这份研究论文的肤浅和混乱感到失望
翻修使我们的办公室变成了一个更有成效的工作空间。,翻修使我们的办公室变成一个功能性较差的环境。
我对最近健身疗程的结果很兴奋,我对最近健身尝试没有结果感到沮丧
我尝试的新食谱 结果变得美味 容易制作,我尝试的新食谱 结果变得不开胃和复杂。
"参加专业发展讲习班后,我感到更有信心。","参加无益的职业研讨会后,我感到更加不安全。"
客户支助小组以耐心和专门知识迅速解决了我的问题。,客户支持小组无动于衷和无能地延长了我的问题。
我对这一新的环境倡议的潜在影响感到兴奋。,我对这一新的环境政策的有效性表示怀疑。
"艺术展发人深思,发人深省。","艺术展没有热情,组织不周。"
我感谢支持网络 帮助我渡过困难时期,我对在我充满挑战的时期缺乏支持感到沮丧。
新的保健方案大大改善了我的总体福祉。,新的保健制度对我的日常生活产生了不利影响。
